Модель,Параметры,Ошибка (обучающая),Ошибка (тестовая),Точность (обучающая),Точность (тестовая)
SVM (полиномиальное ядро),"degree=2, C=10.0, coef0=1, gamma=scale",0.0056,0.0065,0.9944,0.9935
K ближайших соседей,"k=5, metric=manhattan",0.0196,0.0195,0.9804,0.9805
